         user_id,Book-Author,Book-Title,Image-URL-M
72,Stephen King,The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730s/11588.jpg
73,Stephenie Meyer,"The Host (The Host, #1)",https://images.gr-assets.com/books/1318009171s/1656001.jpg
74,John Green,Looking for Alaska,https://images.gr-assets.com/books/1394798630s/99561.jpg
75,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",https://images.gr-assets.com/books/1292060045s/227443.jpg
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,https://images.gr-assets.com/books/1397245675s/14935.jpg
77,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",https://images.gr-assets.com/books/1327781893s/38709.jpg
78,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
79,"Homer, Robert Fagles, E.V. Rieu, Fr√©d√©ric Mugler, Bernard Knox",The Odyssey,https://images.gr-assets.com/books/1390173285s/1381.jpg
80,"Antoine de Saint-Exup√©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,https://images.gr-assets.com/books/1367545443s/157993.jpg
81,Jeannette Walls,The Glass Castle,https://images.gr-assets.com/books/1400930557s/7445.jpg
82,Jon Krakauer,Into the Wild,https://images.gr-assets.com/books/1403173986s/1845.jpg
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,https://images.gr-assets.com/books/1344922523s/1953.jpg
84,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,Shel Silverstein,The Giving Tree,https://images.gr-assets.com/books/1174210942s/370493.jpg
86,John Grisham,A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),https://images.gr-assets.com/books/1473495285s/1617.jpg
88,John Green,Paper Towns,https://images.gr-assets.com/books/1349013610s/6442769.jpg
89,William Goldman,The Princess Bride ,https://images.gr-assets.com/books/1327903636s/21787.jpg
90,S.E. Hinton,The Outsiders,https://images.gr-assets.com/books/1442129426s/231804.jpg
91,James Dashner,"The Maze Runner (Maze Runner, #1)",https://images.gr-assets.com/books/1375596592s/6186357.jpg
92,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",https://images.gr-assets.com/books/1327909092s/1202.jpg
93,Frances Hodgson Burnett,The Secret Garden,https://images.gr-assets.com/books/1327873635s/2998.jpg
94,"Gabriel Garc√≠a M√°rquez, Gregory Rabassa",One Hundred Years of Solitude,https://images.gr-assets.com/books/1327881361s/320.jpg
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966s/5297.jpg
96,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",https://images.gr-assets.com/books/1336418837s/13536860.jpg
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,https://images.gr-assets.com/books/1387151694s/17245.jpg
98,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",https://images.gr-assets.com/books/1351778881s/5060378.jpg
99,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",https://images.gr-assets.com/books/1358266080s/11857408.jpg
100,Kathy Sierra & Bert Bates,Head First Java ,
101,Herbert Schildt,Java: A Beginnerís Guide,
102,Barry A. Burd,Java for Dummies ,
103,Joshua Bloch, Effective Java ,
104,Eric Freeman,Java Head First Design Patterns ,
105,Craig Walls and Ryan Breidenbach,Java Spring in Action ,
106,Robert C. Martin,Java Clean Code ,
107,Lasse Koskela,Test Driven: TDD and Acceptance TDD for Java Developers ,
108, Alex Garcia and Viktor Farcic,Test-Driven Java Development,
109, Bruce Eckel,Thinking in Java ,
110,"Cay S. Horstmann and Gary Cornell
",Core Java,
111,"Herbert Schildt
",Java: The Complete Reference,
112,Kyle Simpson, You Donít Know JS,
113,David Herman,Effective JavaScript,
114,Marijn Haverbeke,Eloquent JavaScript,
115,Mark Myers, A Smarter Way to Learn JavaScript,
116,Douglas Crockford, JavaScript: The Good Parts,
117,David Flanagan, JavaScript: The Definitive Guide,
118,Jon Duckett,JavaScript and jQuery: Interactive Front-End Web Development,
119,"Douglas Crockford
",JavaScript: The Good Parts,
120,Marijn Haverbeke,"Eloquent JavaScript, 3rd Edition: A Modern ",
121,Book by Bear Bibeault,Secrets of the JavaScript Ninja,
122,Reginald Braithwaite,JavaScript AllongÈ: A strong cup of function,
123,by Elizabeth Robson ,Head First HTML and CSS,
124,David DuRocher,HTML and CSS Quickstart Guide,
125,Young Rewired State," Get Coding!: Learn HTML, CSS & JavaScript & Build a Website, App & Game",
126,Jennifer Robbins,"Learning Web Design: A Beginnerís Guide to HTML, CSS, JavaScript, and Web Graphics",
127,Jon Duckett, HTML and CSS: Design and Build Websites,
128,Meloni and Kyrinís ,"HTML, CSS, and JavaScript All in One",
129,Ben Frain,Responsive Web Design with HTML5 and CSS,
130,DT Editorial Services,"HTML 5 Black Book (Covers CSS3, JavaScript, XML, XHTML, AJAX, PHP, jQuery)",
131,Andy Harris,HTML5 and CSS3 All-in-One For Dummies,
132,Eric A,CSS Pocket Reference,
133,Jennifer Kyrnin ,"HTML, CSS, and JavaScript All in One: Cover",
134, Andy Harris,HTML5 and CSS3 All-in-One For Dummies,
135,Keith Grant,CSS in Depth,
136,Greg Sidelnikov,CSS Visual Dictionary,
137,Peter Gasston,The Book of CSS3: A Developer's Guide to t,
138,Bruce Hyslop ,HTML and CSS: Visual Quickstart Guide,
139,Courage Kamusoko,Optical and SAR Remote Sensing of Urban Areas,
140,Viral Thakar,Deep Learning with Python and OpenCV,
141,Andreas Maier,Medical Imaging Systems,
142,Ayman El-Baz,Neurological Disorders and Imaging Physics,
143,Arshad Iqbal,Digital Image Processing MCQs,
144,John Jensen,Introductory Digital Image Processing,
145,Saiful-Islam Saif,"Aerial Photography, Photogeology, GIS, R.S. And Image Processing",
146,Robert Gendler,"Lessons from the Masters
Current Concepts in Astronomical Image Processing",
147,Cleve B. Moler,Numerical Computing with MATLAB,
148,Robert LaganiËre,OpenCV 2 Computer Vision Application Programming Cookbook,
149,Reinhard Klette,Handbook of Image Processing Operators,
150,Ying Bai,"SQL Server Database Programming with Java
Concepts, Designs and Implementations",
151,Christian Nagel,Professional C# and .NET,
152,Sufyan bin Uzayr,"Optimizing Visual Studio Code for Python Development
Developing More Efficient and Effective Programs in Python",
153,April Speight,Visual Studio Code for Python Programmers,
154,Alessandro Del Sole,Visual Studio Code Distilled,
155,Alvin Ashcraft,Learn WinUI 3.0,
156,Andrew Stellman,Head First C#,
157,Muzec Adem,How to Write Better C# Code,
158,Engr. Michael David,.NET Programming for Beginners,
159,Mark J. Price,C# 9 and .NET 5 ñ Modern Cross-Platform Development,
160,Robin Nixon,"Learning PHP, MySQL & JavaScript",
161,Lynn Beighley,Headfirst PHP & MySQL,
162,Alan Forbes,The Joy of PHP,
163,Larry Ullman,PHP for the Web: Visual QuickStart Guide,
164,Luke Welling, PHP and MySQL Web Development (Developerís Library),
165,Mike McGrath,†PHP & MySQL,
166,Ullman,PHP and MySQL for Dynamic Web Sites,
167,Josh Lockhart,Modern PHP: New Features and Good Practices,
168,Steven Holzner†,PHP: The Complete Reference,
169,Ullman PHP Advanced and Object-Oriented Programming: Visual QuickPro Guide,The Last Song,
170,Mike Murach,Murachís PHP and MySQL (Murach: Training & Reference),
